R_hot values: 
 
T[C]	R_hot[ohms]
25	1.806950
26	1.813900
27	1.820849
28	1.827799
29	1.834749
30	1.841699
31	1.848649
32	1.855598
33	1.862548
34	1.869498
35	1.876448
36	1.883398
37	1.890347
38	1.897297
39	1.904247
40	1.911197
41	1.918147
42	1.925097
43	1.932046
44	1.938996
45	1.945946
46	1.952896
47	1.959846
48	1.966795
49	1.973745
50	1.980695
51	1.987645
52	1.994595
53	2.001544
54	2.008494
55	2.015444
56	2.022394
57	2.029344
58	2.036293
59	2.043243
60	2.050193
61	2.057143
62	2.064093
63	2.071042
64	2.077992
65	2.084942
66	2.091892
67	2.098842
68	2.105792
69	2.112741
70	2.119691
71	2.126641
72	2.133591
73	2.140541
74	2.147490
75	2.154440
76	2.161390
77	2.168340
78	2.175290
79	2.182239
80	2.189189
81	2.196139
82	2.203089
83	2.210039
84	2.216988
85	2.223938
86	2.230888
87	2.237838
88	2.244788
89	2.251737
90	2.258687
91	2.265637
92	2.272587
93	2.279537
94	2.286486
95	2.293436
96	2.300386
97	2.307336
98	2.314286
99	2.321236
100	2.328185
101	2.335135
102	2.342085
103	2.349035
104	2.355985
105	2.362934
106	2.369884
107	2.376834
108	2.383784
109	2.390734
110	2.397683
111	2.404633
112	2.411583
113	2.418533
114	2.425483
115	2.432432
116	2.439382
117	2.446332
118	2.453282
119	2.460232
120	2.467181
121	2.474131
122	2.481081
123	2.488031
124	2.494981
